registry_stone_id,grid_id,uncertainty_class,grid_area_pct
1323,1964477,5,0.11436378297284246
1323,1964478,5,0.7865075747475028
1323,1964479,5,0.8338655831664801
1323,1964480,5,0.25381916474848987
1323,1966609,5,0.11113762620538473
1323,1966610,5,0.12725739029804245
1323,1966611,5,0.005880293654580601
1323,1968741,5,0.05916520848870278
1323,1968742,5,0.10428992848321796
3117,1540150,5,0.5956598905388266
3117,1540151,5,0.36807845086976887
3117,1542282,5,0.6357523645140231
3117,1542283,5,0.35707721918271856
4345,1970873,5,0.17842274110894651
4345,1970874,5,3.385470001026988e-4
4345,1973005,5,0.15289549805819988
4345,1973006,5,0.02944464232623577
4345,1975137,5,0.1053075545027852
4345,1975138,5,0.0769866130888462
4345,1977269,5,0.028978401154279708
4345,1977270,5,0.0524857455495745
6774,1968741,5,0.005781085294112563
6774,1968742,5,0.15795470044352114
6774,1968743,5,0.2133018629811704
6774,1968744,5,0.10752146754637361
6774,1970873,5,0.018435749830305576
6774,1970874,5,0.999661452999711
6774,1970875,5,1
6774,1970876,5,0.45876434410512446
6774,1973006,5,0.9705553576737642
6774,1973007,5,0.9533542151108384
6774,1973008,5,0.23244602045752108
6774,1975138,5,0.8554620324648917
6774,1975139,5,0.22043631455674767
6774,1977270,5,0.12166277487389743
8376,1970871,5,0.5658849675662816
8376,1970872,5,0.8867751743987202
8376,1970873,5,0.7586729591086507
8376,1973003,5,0.37582168610990047
8376,1973004,5,0.9830988694131374
8376,1973005,5,0.8471045019418001
8376,1975136,5,0.25086195207759737
8376,1975137,5,0.8096031586140394
8376,1977269,5,0.08605441958196461
13680,1964476,5,0.2956531104877591
13680,1966608,5,0.4395933737516403
13680,1968740,5,0.4229682312354445
13680,1968741,5,0.016615032924711705
13680,1970872,5,0.036392740216758104
13680,1970873,5,0.003520919782994315
17784,1898424,5,0.013448354202881456
17784,1898425,5,0.025171701920451598
17784,1900555,5,0.01768989500887692
17784,1900556,5,0.04917730567115359
17784,1902686,5,0.02193169684950262
17784,1902687,5,0.04493762902328745
17784,1904817,5,0.02617375972121954
17784,1904818,5,0.0406976913401857
17784,1906948,5,0.030416083628311753
17784,1906949,5,0.03645749262776226
17784,1909079,5,0.03465866814143956
17784,1909080,5,0.03221703287893906
17784,1911210,5,0.03890023497845978
17784,1911211,5,0.027976033926382662
17784,1913341,5,0.0431412942555733
17784,1913342,5,0.023734068507514895
17784,1915472,5,0.039801211329642684
17784,1915473,5,0.019492214390821754
20692,1968741,5,0.005781085294112563
20692,1968742,5,0.15795470044352114
20692,1968743,5,0.2133018629811704
20692,1968744,5,0.10752146754637361
20692,1970873,5,0.018435749830305576
20692,1970874,5,0.999661452999711
20692,1970875,5,1
20692,1970876,5,0.45876434410512446
20692,1973006,5,0.9705553576737642
20692,1973007,5,0.9533542151108384
20692,1973008,5,0.23244602045752108
20692,1975138,5,0.8554620324648917
20692,1975139,5,0.22043631455674767
20692,1977270,5,0.12166277487389743
21430,1964475,5,0.26062162894420327
21430,1966607,5,0.4395954998657107
21430,1968739,5,0.43958580106124284
21430,1970871,5,0.07932464271998033
25402,1951699,5,0.004090667797718197
25402,1953830,5,0.3462884941384196
25402,1953831,5,0.2982639085665345
25402,1955961,5,0.3877732550516725
25402,1955962,5,0.9896519193395972
25402,1955963,5,0.36655069714933636
25402,1958092,5,0.4294965875945985
25402,1958093,5,0.9954472708776593
25402,1958094,5,1
25402,1958095,5,0.416347709068656
25402,1960224,5,0.37591743102775654
25402,1960225,5,0.6463022314056754
25402,1960226,5,0.5965854801423848
25402,1960227,5,0.2549399942729622
25467,1894163,5,0.07829140610428949
26418,1966612,5,0.3153260595999658
26418,1966613,5,0.750968234577775
26418,1966614,5,0.7734344264239073
26418,1966615,5,0.21942620807886123
26418,1968744,5,0.39975392999649045
26418,1968745,5,0.9707179704278708
26418,1968746,5,0.3094876628726721
26418,1970876,5,0.06636193246915936
26418,1970877,5,0.10380200778525323
26610,1962358,5,0.40069733831211923
26610,1962359,5,0.3001384243218461
26610,1964490,5,0.5154539806872607
26610,1964491,5,0.38294228198006747
31315,1970876,5,0.2432303770311177
31315,1970877,5,0.16137012669923714
31315,1973008,5,1.5676441421965138e-4
35290,1960224,5,0.0355531614003703
35290,1960225,5,0.353105970370397
35290,1960226,5,0.40341451985761523
35290,1960227,5,0.21105268511772154
35290,1962357,5,0.3792382927143015
35290,1962358,5,0.47050524816066025
35290,1962359,5,0.2163129070416093
40285,1785214,5,0.2576020772613585
40285,1787346,5,0.11848419576473534
44331,1787344,5,0.023720078654773533
44331,1787345,5,0.21004117669090627
44331,1787346,5,0.26180737067498266
44331,1787347,5,0.3135735646586865
44331,1787348,5,0.35894778128624893
44331,1789476,5,0.06885396686419845
