geoid,fordq_rate
48201331800,0.193
48201331900,0.204
48201332000,0.194
48201332100,0.199
48201332200,0.191
48201332300,0.213
48201332400,0.207
48201332500,0.178
48201332600,0.157
48201332700,0.139
48201332800,0.142
48201332900,0.145
48201333000,0.147
48201333100,0.106
48201333300,0.137
48201333500,0.127
48201333600,0.131
48201333700,0.142
48201333800,0.132
48201340100,0.096
48201340400,0.047
48201340500,0.073
48201340600,0.062
48201340700,0.082
48201340800,0.052
48201340900,0.108
48201341000,0.087
48201341100,0.088
48201341400,0.053
48201341600,0.071
48201341700,0.087
48201341800,0.077
48201342100,0.105
48201342200,0.128
48201342300,0.131
48201342400,0.12
48201342500,0.092
48201342700,0.09
48201342800,0.07
48201342900,0.094
48201343000,0.106
48201343100,0.117
48201343200,0.094
48201350100,0.069
48201350200,0.123
48201350300,0.105
48201350400,0.123
48201350500,0.129
48201350700,0.09
48201410100,0.037
48201410200,0.053
48201410300,0.058
48201410500,0.05
48201410600,0.061
48201410800,0.034
48201410900,0.031
48201411000,0.039
48201411100,0.034
48201411200,0.041
48201411300,0.061
48201411400,0.031
48201411600,0.043
48201411700,0.079
48201411800,0.034
48201411900,0.034
48201412000,0.032
48201412100,0.021
48201412200,0.026
48201412300,0.024
48201412400,0.021
48201412500,0.009
48201412600,0.025
48201412700,0.035
48201412800,0.03
48201412900,0.042
48201413000,0.033
48201413100,0.029
48201413300,0.034
48201420100,0.047
48201420200,0.07
48201420300,0.049
48201420400,0.049
48201420500,0.126
48201420600,0.073
48201420700,0.052
48201420800,0.037
48201420900,0.026
48201421000,0.031
48201421300,0.115
48201421500,0.075
48201421600,0.045
48201421700,0.045
48201421800,0.049
48201421900,0.051
48201422000,0.067
48201422100,0.111
48201422200,0.135
48201422500,0.062
48201422600,0.087
48201422800,0.108
48201422900,0.14
48201423000,0.1
48201423100,0.215
48201423500,0.093
48201423600,0.15
48201430100,0.043
48201430200,0.08
48201430300,0.026
48201430400,0.019
48201430500,0.043
48201430600,0.024
48201430700,0.033
48201430800,0.031
48201430900,0.047
48201431000,0.041
48201431600,0.033
48201431700,0.036
48201431900,0.079
48201432100,0.069
48201432200,0.073
48201432300,0.059
48201432400,0.096
48201432500,0.103
48201432600,0.072
48201433100,0.098
48201433300,0.092
48201433400,0.126
48201433600,0.183
48201440100,0.117
48201450100,0.057
48201450200,0.039
48201450300,0.068
48201450400,0.075
48201450500,0.05
48201450600,0.044
48201450700,0.04
48201450900,0.064
48201451100,0.061
48201451200,0.045
48201451300,0.058
48201451500,0.05
48201451700,0.102
48201451800,0.114
48201452000,0.095
48201452100,0.044
48201452300,0.113
48201452400,0.127
48201452500,0.115
48201452600,0.092
48201452700,0.092
48201452900,0.112
48201453000,0.122
48201453100,0.109
48201453200,0.122
48201453300,0.175
48201453700,0.126
48201453800,0.151
48201453900,0.112
48201454000,0.126
48201454100,0.139
48201454200,0.145
48201454400,0.058
48201454600,0.073
48201454700,0.058
48201454800,0.104
48201454900,0.061
48201455000,0.044
48201455200,0.101
48201455300,0.058
48201510100,0.065
48201510200,0.049
48201510300,0.055
48201510400,0.049
48201510500,0.068
48201510600,0.069
48201510700,0.039
48201510800,0.042
48201510900,0.063
48201511100,0.069
48201511200,0.059
48201511400,0.049
48201511500,0.078
48201511600,0.097
48201520100,0.107
48201520200,0.037
48201520300,0.078
48201520400,0.13
48201520500,0.141
48201520700,0.055
48201521000,0.05
48201521100,0.069
48201521200,0.114
48201521300,0.124
48201521400,0.147
48201521500,0.101
48201521600,0.111
48201521700,0.092
48201521800,0.114
48201521900,0.088
48201522000,0.091
48201522100,0.092
48201530100,0.094
48201530200,0.07
48201530300,0.187
48201530400,0.201
48201530500,0.205
48201530600,0.156
48201530700,0.146
48201530800,0.147
48201530900,0.059
48201531000,0.059
48201531100,0.075
48201531200,0.078
48201531300,0.087
48201531400,0.085
48201531500,0.082
48201531600,0.07
48201531700,0.068
48201531800,0.192
48201531900,0.181
48201532100,0.088
48201532200,0.111
48201532300,0.082
48201532400,0.12
48201532600,0.152
48201532700,0.13
48201532800,0.121
48201532900,0.174
48201533000,0.186
48201533100,0.157
48201533200,0.139
48201533300,0.189
48201533400,0.156
48201533500,0.138
48201533600,0.13
48201534100,0.126
48201540100,0.05
48201540200,0.133
48201540700,0.09
48201540800,0.121
48201541100,0.072
48201541300,0.127
48201541400,0.091
48201541500,0.104
48201541700,0.077
48201541800,0.109
48201541900,0.084
48201542000,0.103
48201542200,0.108
48201542400,0.119
48201542500,0.087
48201542600,0.099
48201542700,0.085
48201542800,0.088
48201542900,0.098
48201543100,0.109
48201550100,0.124
48201550200,0.096
48201550500,0.136
48201550700,0.129
48201550800,0.173
48201550900,0.141
48201551000,0.151
48201551100,0.13
48201551200,0.107
48201551300,0.107
48201551400,0.085
48201551500,0.091
48201551600,0.127
48201551800,0.054
48201551900,0.062
48201552200,0.095
48201552400,0.09
48201552500,0.1
48201552700,0.073
48201552800,0.052
48201552900,0.088
48201553100,0.104
48201553200,0.114
48201553300,0.098
48201553500,0.102
48201553600,0.073
48201553700,0.07
48201553900,0.076
48201554200,0.114
48201554600,0.055
48201554700,0.061
48201555000,0.095
48201555100,0.073
48201555200,0.096
48201555600,0.071
48241950500,0.121
48241950600,0.119
48241950700,0.113
48241950800,0.118
48245000101,0.08
48245000102,0.11
48245000103,0.145
48245000200,0.113
48245000302,0.056
48245000304,0.103
48245000306,0.063
48245000400,0.076
48245000500,0.124
48245000600,0.147
48245000700,0.127
48245000900,0.129
48245001100,0.098
48245001200,0.118
48245001301,0.1
48245001302,0.085
48245001303,0.065
48245001700,0.14
48245001900,0.143
48245002000,0.123
48245002100,0.162
48245002200,0.111
48245002300,0.142
48245002400,0.143
48245002500,0.145
48245002600,0.122
48245005100,0.091
48245005400,0.167
48245005500,0.14
48245005600,0.124
48245005900,0.157
48245006100,0.154
48245006300,0.122
48245006400,0.134
48245006500,0.129
48245006600,0.098
48245006700,0.145
48245006800,0.119
48245006900,0.094
48245007001,0.078
48245007002,0.063
48245007100,0.098
48245010100,0.112
48245010200,0.122
48245010300,0.115
48245010400,0.077
48245010500,0.098
48245010600,0.089
48245010700,0.074
48245010800,0.079
48245010901,0.077
48245010902,0.06
48245011001,0.077
48245011002,0.078
48245011101,0.069
48245011102,0.077
48245011201,0.076
48245011202,0.03
48245011203,0
48245011302,0
48245011400,0.076
48245011500,0.083
48245011600,0.108
48291700100,0.146
48291700200,0.122
48291700300,0.133
48291700400,0.127
48291700500,0.118
48291700600,0.12
48291700700,0.115
48291700800,0.109
48291700900,0.107
48291701000,0.118
48291701100,0.108
48291701200,0.103
48291701300,0.121
48291701400,0.108
48321730100,0.119
48339690100,0.079
48339690300,0.103
48339690500,0.055
48339690700,0.042
48339690800,0.038
48339690900,0.031
48339691000,0.031
48339691100,0.052
48339691200,0.044
48339691400,0.078
48339691500,0.058
48339691700,0.043
48339691800,0.078
48339691900,0.076
48339692100,0.069
48339692200,0.092
48339692300,0.087
48339692400,0.08
48339692500,0.117
48339692700,0.105
48339692900,0.133
48339693000,0.124
48339693200,0.09
48339693300,0.085
48339693400,0.057
48339693500,0.102
48339693600,0.089
48339693700,0.068
48339693800,0.123
48339693900,0.141
48339694000,0.119
48339694400,0.096
48339694500,0.062
48339694600,0.093
48339694700,0.08
48351950200,0.13
48351950300,0.142
48351950400,0.143
48361020300,0.117
48361020500,0.138
48361020700,0.113
48361020800,0.108
48361021100,0.103
48361021200,0.1
48361021300,0.081
48361021400,0.095
48361021600,0.117
48361021700,0.102
48361021800,0.106
48361021900,0.115
48361022000,0.119
48361022200,0.082
48361022300,0.074
48361022400,0.097
48373210101,0.108
48373210102,0.132
