19800101
14.33,0.24
18.25,2.2
17.83,3.88
13.11,3.58
15.35,1.73
18.92,5.26
19.18,8.7
13.72,7.02
11.67,7.79
16.13,9.31
21.62,11.98
19.59,8.3
17.08,4.87
22.04,8.95
22.48,11.98
21.08,14.67
21.9,14.62
19.79,11.03
18.23,13.52
19.22,15.11
19.79,16.25
19.39,11.24
13.87,2.76
14.79,2.66
16.67,6.84
18.45,11.36
18.69,7.21
15.43,6.24
15.55,7.81
14.62,7.21
14.23,2.82
6.89,-1.76
6.89,-1.32
7.67,0.79
14.4,1.73
18.43,4.41
20.03,3.11
16.67,7.08
17.92,7.8
14.49,2.75
5.63,0.67
7.55,0.26
11.11,3.4
12.55,6.55
16.35,8.33
20.38,12.76
20.92,1.94
5.94,-2.15
9.67,0.53
18.96,7.8
24.72,14.18
25.28,15.91
28.03,11.47
28.51,12.95
27.81,11.11
24.86,5.73
17.81,3.37
18.44,4.04
23.56,6.13
25.36,11.76
22.39,2.08
6.41,-4.97
9.4,-3.57
18.36,5.33
20.38,12.8
19.91,7.23
23.09,11.57
25.23,17.8
23.59,12.97
26.9,15.09
27.56,17.83
27.71,17.93
26.85,11.79
20.63,9.64
20.2,10.05
22.61,14.42
22.9,14.73
18.56,5.29
19.21,9.09
24.19,13.64
25.88,8.19
20.84,8.38
21.52,12.6
21.72,12.04
19.49,12.2
18.59,12.12
17.2,13.15
17.87,13.61
22.02,12.72
22.85,8.38
22.65,9.74
23.39,12.56
23.28,16.18
24.88,17.64
27.29,13.74
23.16,11.58
22.85,10.27
22.72,17.81
24.6,10.06
24.97,8.62
25.91,9.3
26.02,16.98
26.18,13.93
15.45,6.84
14.02,3.91
23.15,7.72
26.85,10.95
26.72,12.48
25.41,12.7
24.62,10.69
27.17,12.09
27.73,12.58
27.3,14.91
27.26,15.1
27.24,18.21
26.87,18.5
24.59,13.25
22.36,10.28
23.77,11.29
27.07,12.74
26.93,13.38
25.83,17.87
28.84,18.28
28.84,17.14
28.42,18.28
28.64,17.0
29.17,16.98
30.66,17.69
28.35,18.18
26.5,13.57
28.32,16.1
29.33,22.0
29.83,23.04
30.05,21.72
28.73,18.93
27.62,19.94
26.44,19.79
28.78,16.72
29.16,17.92
29.4,18.4
28.73,19.17
30.16,20.08
28.42,17.99
29.53,17.13
31.71,18.95
32.72,23.91
32.92,23.66
33.59,23.81
32.59,22.92
31.62,23.2
31.1,22.26
31.45,22.78
31.7,22.66
31.94,23.25
32.42,23.64
32.53,21.24
33.1,21.53
33.57,22.5
34.12,23.27
35.55,23.23
31.72,22.34
27.62,19.41
31.64,19.18
32.9,19.07
33.35,19.03
33.51,19.21
33.36,22.43
33.92,23.77
34.22,22.99
35.03,23.56
35.72,24.53
35.98,24.58
34.53,22.59
34.63,23.04
35.24,23.06
36.02,25.13
36.57,25.44
37.74,25.56
38.37,24.99
38.01,25.4
36.73,24.85
37.78,25.44
38.14,24.68
38.51,25.09
37.34,24.81
36.57,24.57
36.12,23.74
36.24,23.82
36.63,24.89
36.93,24.99
37.32,24.88
37.03,24.43
37.19,24.04
36.99,23.97
37.73,23.65
37.71,24.07
