19800101
15.55,0.22
18.61,1.98
17.72,4.32
12.8,2.67
16.18,1.38
19.81,5.87
19.18,7.94
12.07,7.66
12.35,7.65
17.18,9.22
21.54,11.46
19.3,7.95
18.16,4.55
22.16,8.05
22.99,12.65
22.38,15.14
22.4,13.0
20.02,10.77
20.43,12.47
20.68,14.03
20.19,14.84
18.26,9.94
12.67,2.43
15.4,2.88
16.75,7.8
19.6,11.07
19.15,6.68
14.65,5.5
15.4,7.47
15.65,7.07
11.31,2.21
6.99,-1.85
7.1,-0.72
10.75,1.25
14.85,1.34
19.5,4.36
19.44,3.1
16.96,6.78
18.44,6.99
14.27,2.15
5.78,0.48
8.59,0.15
11.71,3.47
14.33,6.46
16.91,8.03
21.23,12.76
21.29,1.11
6.51,-2.77
10.05,0.48
19.23,7.88
24.68,13.95
25.9,14.52
28.36,10.49
28.71,12.22
27.9,10.96
24.01,4.92
18.0,2.64
19.37,4.01
24.77,6.08
26.3,12.63
22.41,0.42
4.97,-5.43
9.87,-3.78
18.88,5.66
20.81,10.9
20.1,6.28
23.99,11.65
25.13,17.22
24.64,12.67
27.51,14.38
27.39,16.68
27.42,17.66
26.32,11.59
20.66,9.55
20.71,9.47
23.21,14.4
23.35,13.78
18.93,4.38
19.93,8.43
24.42,13.85
25.63,7.17
21.17,7.25
22.53,12.2
21.73,11.04
19.97,11.53
19.1,12.14
17.19,12.99
18.27,13.55
23.75,11.7
22.89,8.49
23.06,9.69
24.1,12.94
23.85,16.02
25.76,18.58
26.8,12.67
23.38,11.25
22.92,12.28
23.05,17.64
25.49,12.97
25.58,8.52
26.17,8.89
26.85,17.74
26.32,12.36
15.27,6.83
14.4,3.92
23.49,7.58
27.35,10.8
27.24,12.38
26.64,12.25
25.14,10.58
27.4,11.77
28.07,12.82
27.82,13.03
27.77,15.45
28.79,18.92
27.66,17.71
24.42,13.03
21.78,9.82
24.49,10.54
27.44,12.58
27.02,15.47
27.27,18.01
29.16,17.96
28.76,16.73
28.42,17.79
27.8,16.9
30.29,16.99
30.7,18.45
27.77,16.27
26.02,13.45
28.91,16.21
30.49,22.19
30.14,22.5
30.23,20.22
28.07,19.02
27.27,20.38
27.24,18.65
29.17,16.88
29.76,18.95
29.01,18.73
29.75,18.51
30.24,19.42
28.93,17.31
30.48,17.52
33.1,21.24
33.57,23.94
33.46,23.6
34.47,23.61
32.47,23.12
31.76,23.24
31.29,22.3
31.97,23.32
32.24,22.97
32.55,23.22
32.79,23.68
32.74,21.77
33.47,22.03
34.78,23.79
34.84,24.45
35.74,23.4
29.57,21.32
29.85,19.35
32.41,19.26
33.51,19.33
33.83,18.85
34.06,19.51
34.31,22.46
34.63,23.23
35.15,23.25
35.97,24.0
36.18,25.08
36.17,24.23
34.67,23.02
34.95,23.25
35.95,24.43
36.53,25.54
36.86,25.77
38.05,25.6
38.46,25.38
37.69,25.78
37.05,25.17
37.72,25.49
38.21,25.08
38.73,25.56
37.66,25.02
36.73,24.35
36.76,23.92
37.3,24.25
37.33,24.54
38.39,24.68
37.78,24.55
37.35,23.78
37.92,24.22
38.05,24.49
38.05,23.91
37.97,24.18
38.35,25.29
38.88,24.31
39.58,24.68
38.57,24.45
37.94,24.33
34.68,24.78
33.86,24.2
34.29,23.83
