registry_stone_id,uncertainty_class,grid_id,grid_area_pct
25402,5,1958094,1
71695,5,2452660,1
71695,5,2452661,1
71695,5,2452662,1
72349,5,2452675,1
72349,5,2454807,1
72349,5,2454808,1
72349,5,2454809,1
72509,5,2659457,1
72509,5,2659458,1
72509,5,2659459,1
72509,5,2659460,1
72509,5,2659461,1
72509,5,2659462,1
72509,5,2659463,1
72509,5,2661589,1
72509,5,2661590,1
72509,5,2661591,1
72509,5,2661592,1
72509,5,2661593,1
72509,5,2661594,1
72509,5,2661595,1
72509,5,2663720,1
72509,5,2663721,1
72509,5,2663722,1
72509,5,2663723,1
72509,5,2663724,1
72509,5,2663725,1
72509,5,2663726,1
72509,5,2663727,1
72509,5,2665852,1
72509,5,2665853,1
72509,5,2665854,1
72509,5,2665855,1
72509,5,2665856,1
72509,5,2665857,1
72509,5,2665858,1
72509,5,2665859,1
72509,5,2667983,1
72509,5,2667984,1
72509,5,2667985,1
72509,5,2667986,1
72509,5,2667987,1
72509,5,2667988,1
72509,5,2667989,1
72509,5,2667990,1
72509,5,2667991,1
72804,5,2433451,1
72804,5,2433452,1
72804,5,2435582,1
72804,5,2435583,1
72804,5,2435584,1
72804,5,2437714,1
72804,5,2437715,1
72804,5,2437716,1
72804,5,2439846,1
72804,5,2439847,1
72804,5,2439848,1
72804,5,2441978,1
72804,5,2441979,1
72804,5,2441980,1
72804,5,2444104,1
72804,5,2444105,1
72804,5,2444106,1
72804,5,2444110,1
72804,5,2444111,1
72804,5,2444112,1
72804,5,2446236,1
72804,5,2446237,1
72804,5,2446238,1
72804,5,2446242,1
72804,5,2446243,1
72804,5,2446244,1
72804,5,2448368,1
72804,5,2448369,1
72804,5,2448370,1
72804,5,2448371,1
72804,5,2448372,1
72804,5,2448373,1
72804,5,2448374,1
72804,5,2448375,1
72804,5,2448376,1
72804,5,2450500,1
72804,5,2450501,1
72804,5,2450502,1
72804,5,2450503,1
72804,5,2450504,1
72804,5,2450505,1
72804,5,2450506,1
72804,5,2450507,1
72804,5,2450508,1
72804,5,2450511,1
72868,5,2478296,1
72868,5,2478297,1
72868,5,2480428,1
73058,5,2354556,1
73058,5,2356688,1
73058,5,2360951,1
73058,5,2363083,1
73058,5,2367346,1
73058,5,2369478,1
73097,5,2346046,1
73097,5,2346047,1
73097,5,2346048,1
73097,5,2346049,1
73097,5,2348178,1
73097,5,2348179,1
73097,5,2348180,1
73097,5,2348181,1
73097,5,2350311,1
73097,5,2352446,1
73097,5,2352447,1
73097,5,2354575,1
73097,5,2354576,1
73097,5,2354577,1
73097,5,2354578,1
73097,5,2354579,1
73097,5,2354580,1
73097,5,2356707,1
73097,5,2356708,1
73097,5,2356709,1
73097,5,2356710,1
73097,5,2356711,1
73097,5,2356712,1
73097,5,2356713,1
73198,5,2350297,1
73198,5,2352429,1
73198,5,2352430,1
73198,5,2354561,1
73198,5,2354562,1
73198,5,2354563,1
73198,5,2356693,1
73198,5,2356694,1
73198,5,2356695,1
73198,5,2356696,1
73198,5,2356697,1
73198,5,2356698,1
73198,5,2356699,1
73198,5,2358824,1
73198,5,2358825,1
73198,5,2358826,1
73198,5,2358827,1
73198,5,2358828,1
73198,5,2358829,1
73198,5,2358830,1
73198,5,2358831,1
73198,5,2358832,1
73198,5,2360956,1
73198,5,2360957,1
73198,5,2360958,1
73198,5,2360959,1
73198,5,2360960,1
73198,5,2360961,1
73198,5,2360962,1
73198,5,2360963,1
73198,5,2360964,1
73198,5,2363088,1
73198,5,2363089,1
73198,5,2363090,1
73198,5,2363091,1
73198,5,2363092,1
73198,5,2363093,1
73198,5,2363094,1
73198,5,2363095,1
73198,5,2363096,1
73198,5,2363097,1
73198,5,2365220,1
73198,5,2365221,1
73198,5,2365222,1
73198,5,2365223,1
73198,5,2365224,1
73198,5,2365225,1
73198,5,2365226,1
73198,5,2365227,1
73198,5,2365228,1
73198,5,2365229,1
73198,5,2365230,1
73198,5,2367351,1
73198,5,2367352,1
73198,5,2367353,1
73198,5,2367354,1
73198,5,2367355,1
73198,5,2367356,1
73198,5,2367357,1
73198,5,2367358,1
73198,5,2367359,1
73198,5,2367360,1
73198,5,2367361,1
73198,5,2367362,1
73198,5,2369486,1
73198,5,2369487,1
73198,5,2369488,1
73198,5,2369489,1
73198,5,2369490,1
73198,5,2369491,1
73198,5,2369492,1
73198,5,2369493,1
73198,5,2371622,1
73198,5,2371623,1
73198,5,2371624,1
73465,5,2467703,1
73465,5,2467704,1
73465,5,2469834,1
73596,5,2503852,1
73596,5,2503853,1
73667,5,2478296,1
73667,5,2478297,1
73667,5,2480428,1
73833,5,2424914,1
73833,5,2427046,1
73833,5,2437705,1
73833,5,2439836,1
73833,5,2439837,1
73833,5,2441968,1
73833,5,2441969,1
73833,5,2444099,1
73833,5,2444100,1
73833,5,2446231,1
73833,5,2446232,1
73833,5,2448361,1
73833,5,2448362,1
73833,5,2448363,1
73833,5,2448364,1
73833,5,2450493,1
73833,5,2450494,1
73833,5,2450495,1
73833,5,2450496,1
73977,5,2090205,1
73977,5,2090206,1
73977,5,2090207,1
73977,5,2092337,1
74138,5,2365253,1
74230,5,2627536,1
74230,5,2629668,1
74230,5,2631800,1
74230,5,2633932,1
74230,5,2636062,1
74230,5,2636063,1
74230,5,2636064,1
74230,5,2638194,1
74230,5,2638195,1
74265,5,2495414,1
74265,5,2497551,1
74265,5,2497552,1
74265,5,2497553,1
74265,5,2497554,1
74265,5,2497555,1
74265,5,2497556,1
74265,5,2499683,1
74265,5,2499684,1
74265,5,2499685,1
74265,5,2499686,1
74265,5,2499687,1
74265,5,2499688,1
74265,5,2499689,1
74265,5,2501816,1
74265,5,2501817,1
74265,5,2501818,1
74265,5,2501819,1
74265,5,2501820,1
74265,5,2501821,1
74265,5,2501822,1
74265,5,2503949,1
74265,5,2503950,1
74265,5,2503951,1
74265,5,2503952,1
74265,5,2503953,1
74265,5,2503954,1
74265,5,2506083,1
74265,5,2506084,1
74265,5,2506085,1
74265,5,2506086,1
74265,5,2506087,1
74265,5,2506090,1
74265,5,2506091,1
74265,5,2508215,1
74265,5,2508216,1
74265,5,2508217,1
74265,5,2508218,1
74265,5,2508219,1
74265,5,2508220,1
74265,5,2508221,1
74265,5,2508222,1
74265,5,2508223,1
74265,5,2510347,1
74265,5,2510348,1
74265,5,2510349,1
74265,5,2510350,1
74265,5,2510351,1
74265,5,2510352,1
74265,5,2510353,1
74265,5,2510354,1
74265,5,2510355,1
74265,5,2512482,1
74265,5,2512483,1
74265,5,2512484,1
74265,5,2512485,1
74265,5,2512486,1
74265,5,2512487,1
74265,5,2514615,1
74265,5,2514616,1
74265,5,2514617,1
74265,5,2514618,1
74265,5,2514619,1
74265,5,2514620,1
74265,5,2516748,1
74265,5,2516749,1
74265,5,2516750,1
74265,5,2516751,1
74265,5,2518881,1
74359,5,2446249,1
74359,5,2459039,1
74359,5,2461169,1
74359,5,2461170,1
74359,5,2461171,1
74359,5,2463297,1
74359,5,2463298,1
74359,5,2463299,1
74359,5,2463301,1
74359,5,2463303,1
74359,5,2465429,1
74359,5,2465430,1
74359,5,2465431,1
74359,5,2465432,1
74359,5,2465433,1
74359,5,2465434,1
74359,5,2465435,1
74359,5,2467563,1
74359,5,2467564,1
74359,5,2467565,1
74359,5,2467566,1
74359,5,2467567,1
74359,5,2469695,1
74359,5,2469696,1
74359,5,2469697,1
74359,5,2469698,1
74359,5,2469699,1
74359,5,2471821,1
74359,5,2471822,1
74359,5,2471827,1
74359,5,2471828,1
74359,5,2471829,1
74359,5,2471830,1
74359,5,2471831,1
74406,5,2478296,1
74406,5,2478297,1
74406,5,2480428,1
75267,5,2429195,1
75267,5,2431327,1
75267,5,2433459,1
75267,5,2435591,1
75267,5,2437723,1
75529,5,2516675,1
75529,5,2518808,1
75529,5,2518809,1
75529,5,2518810,1
75762,5,2486830,1
75851,5,2484678,1
75851,5,2484679,1
75851,5,2484680,1
75851,5,2484681,1
75851,5,2484682,1
75851,5,2486810,1
75851,5,2486811,1
75851,5,2486812,1
75851,5,2486813,1
75851,5,2486814,1
75997,5,2399344,1
75997,5,2401475,1
75997,5,2401476,1
75997,5,2403607,1
77097,5,2066764,1
77097,5,2066765,1
77097,5,2066766,1
77097,5,2066767,1
77097,5,2066768,1
77097,5,2066769,1
77097,5,2066770,1
77097,5,2066771,1
77097,5,2066772,1
77097,5,2068878,1
77097,5,2068879,1
77097,5,2068880,1
77097,5,2068881,1
77097,5,2068882,1
77097,5,2068883,1
77097,5,2068884,1
77097,5,2068885,1
77097,5,2068886,1
77097,5,2068894,1
77097,5,2068895,1
77097,5,2068896,1
77097,5,2068897,1
77097,5,2068898,1
77097,5,2068899,1
77097,5,2068900,1
77097,5,2068901,1
77097,5,2068902,1
77097,5,2068903,1
77097,5,2068904,1
77097,5,2068905,1
77097,5,2071010,1
77097,5,2071011,1
77097,5,2071012,1
77097,5,2071013,1
77097,5,2071014,1
77097,5,2071015,1
77097,5,2071016,1
77097,5,2071017,1
77097,5,2071018,1
77097,5,2071024,1
77097,5,2071025,1
77097,5,2071026,1
77097,5,2071027,1
77097,5,2071028,1
77097,5,2071029,1
77097,5,2071030,1
77097,5,2071031,1
77097,5,2071032,1
77097,5,2071033,1
77097,5,2071034,1
77097,5,2071035,1
77097,5,2071036,1
77097,5,2071037,1
77097,5,2071038,1
77097,5,2073142,1
77097,5,2073143,1
77097,5,2073144,1
77097,5,2073145,1
77097,5,2073146,1
77097,5,2073147,1
77097,5,2073148,1
77097,5,2073149,1
77097,5,2073150,1
77097,5,2073156,1
77097,5,2073157,1
77097,5,2073158,1
77097,5,2073159,1
77097,5,2073160,1
77097,5,2073161,1
77097,5,2073162,1
77097,5,2073167,1
77097,5,2073168,1
77097,5,2073169,1
77097,5,2075274,1
77097,5,2075275,1
77097,5,2075276,1
77097,5,2075277,1
77097,5,2075278,1
77097,5,2075279,1
77097,5,2075280,1
77097,5,2075281,1
77097,5,2075282,1
77097,5,2075288,1
77097,5,2075289,1
77097,5,2075290,1
77097,5,2075291,1
77097,5,2075292,1
77097,5,2077406,1
77097,5,2077407,1
77097,5,2077408,1
77097,5,2077409,1
77097,5,2077410,1
77097,5,2077411,1
77097,5,2077412,1
77097,5,2077413,1
77097,5,2077414,1
77097,5,2077420,1
77097,5,2077421,1
77097,5,2077422,1
77097,5,2079538,1
77097,5,2079539,1
77097,5,2079540,1
77097,5,2079541,1
77097,5,2079542,1
77097,5,2079543,1
77097,5,2079544,1
77097,5,2079545,1
77097,5,2079546,1
77097,5,2079552,1
77097,5,2079553,1
77097,5,2081670,1
77097,5,2081671,1
77097,5,2081672,1
77097,5,2081673,1
77097,5,2081674,1
77097,5,2081675,1
77097,5,2081676,1
77097,5,2081677,1
77097,5,2081678,1
77097,5,2081684,1
77097,5,2081685,1
77097,5,2083802,1
77097,5,2083803,1
77097,5,2083804,1
77097,5,2083805,1
77097,5,2083806,1
77097,5,2083807,1
77097,5,2083808,1
77097,5,2083809,1
77097,5,2083810,1
77097,5,2083816,1
77097,5,2085934,1
77097,5,2085935,1
77097,5,2085936,1
77097,5,2085937,1
77097,5,2085938,1
77097,5,2085939,1
77097,5,2085940,1
77097,5,2085941,1
77097,5,2085942,1
77097,5,2088066,1
77097,5,2088067,1
77453,5,2452660,1
77453,5,2452661,1
77453,5,2452662,1
77566,5,2627536,1
77566,5,2629668,1
77566,5,2631800,1
77566,5,2633932,1
77566,5,2636062,1
77566,5,2636063,1
77566,5,2636064,1
77566,5,2638194,1
77566,5,2638195,1
77881,5,2431299,1
77881,5,2433431,1
77881,5,2433432,1
77881,5,2433433,1
77881,5,2435563,1
77881,5,2435564,1
77881,5,2435565,1
77881,5,2437695,1
77881,5,2437696,1
