grid_id,ToxPi Score,Facility.SWAT,Facility.Delft3D,Facility_RMP,Facility_NEI
47236,0.0824580217713289,0,0,0,0.329832087085316
47237,0.0824580217713289,0,0,0,0.329832087085316
47238,0.0824580217713289,0,0,0,0.329832087085316
47239,0.0824580217713289,0,0,0,0.329832087085316
49367,0.0824580217713289,0,0,0,0.329832087085316
49368,0.0824580217713289,0,0,0,0.329832087085316
49369,0.0824580217713289,0,0,0,0.329832087085316
49370,0.0824580217713289,0,0,0,0.329832087085316
49371,0.0824580217713289,0,0,0,0.329832087085316
51499,0.0824580217713289,0,0,0,0.329832087085316
51500,0.0824580217713289,0,0,0,0.329832087085316
51501,0.0824580217713289,0,0,0,0.329832087085316
51502,0.0824580217713289,0,0,0,0.329832087085316
53631,0.0824580217713289,0,0,0,0.329832087085316
53632,0.0824580217713289,0,0,0,0.329832087085316
53633,0.0824580217713289,0,0,0,0.329832087085316
136889,0.0824580217713289,0,0,0,0.329832087085316
139020,0.0824580217713289,0,0,0,0.329832087085316
139021,0.0824580217713289,0,0,0,0.329832087085316
139022,0.0824580217713289,0,0,0,0.329832087085316
139023,0.0824580217713289,0,0,0,0.329832087085316
141152,0.0824580217713289,0,0,0,0.329832087085316
141153,0.0824580217713289,0,0,0,0.329832087085316
141154,0.0824580217713289,0,0,0,0.329832087085316
141155,0.0824580217713289,0,0,0,0.329832087085316
143284,0.0824580217713289,0,0,0,0.329832087085316
143285,0.0824580217713289,0,0,0,0.329832087085316
143286,0.0824580217713289,0,0,0,0.329832087085316
143287,0.0824580217713289,0,0,0,0.329832087085316
145417,0.0824580217713289,0,0,0,0.329832087085316
145418,0.0824580217713289,0,0,0,0.329832087085316
145419,0.0824580217713289,0,0,0,0.329832087085316
145420,0.0824580217713289,0,0,0,0.329832087085316
145421,0.0824580217713289,0,0,0,0.329832087085316
145422,0.0824580217713289,0,0,0,0.329832087085316
145423,0.0824580217713289,0,0,0,0.329832087085316
145424,0.0824580217713289,0,0,0,0.329832087085316
