registry_id,stat_land_combined,geo_id_revised,Stone_Unique_ID_revised,note,uncertainty_class
110000462758,F2,1005150000470,84217,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000462758,F2,1005150000591,115265,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000462758,F2,1005150000696,74768,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000462758,F2,1005150000728,104060,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000462767,F2,1005150000017,129105,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000462776,F2,0410030000843,128783,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000462794,F2,1005150000054,118355,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000462794,F2,1005150000593,80774,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000462810,F2,1005150000490,78844,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000462810,F2,1005150000640,124423,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000462829,F2,1005150000027,75704,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000462829,F2,1005150000675,81102,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000462838,F2,1005150000028,72634,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000462838,F2,1005150000555,81036,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000462847,F2,1005740000052,112371,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000462847,F2,1005740000067,92536,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000462847,F2,1005740000076,107595,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000462847,F2,1005740000103,109974,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000462847,F2,1005740000106,92734,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000462856,F2,1005150000549,107803,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000462856,F2,1241340010001,79349,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000462856,F2,9700000000226,121553,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000462874,F2,1005740000052,112371,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000462874,F2,1005740000067,92536,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000462874,F2,1005740000076,107595,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000462874,F2,1005740000103,109974,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000462874,F2,1005740000106,92734,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000462883,F2,1005150001021,111769,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000462883,F2,1005150000011,112644,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000462883,F2,1005150000663,122659,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000462892,F2,1005150000001,81782,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000462892,F2,1005150000557,111770,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000462909,F2,1005740000052,112371,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000462909,F2,1005740000067,92536,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000462909,F2,1005740000076,107595,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000462909,F2,1005740000103,109974,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000462909,F2,1005740000106,92734,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000462918,F2,0410030000136,155243,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000462918,F2,0410030000823,146972,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000462918,F2,0410030000824,141674,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000462945,F2,1005150000682,105073,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000462981,F2,1005150000370,123865,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000462981,F2,1005150000625,95943,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000462981,F2,9700000000187,73762,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000462990,F2,1005150000505,112134,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000462990,F2,1005150000664,82442,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000462990,F2,1005150000673,98368,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000463007,F2,1005150000002,107517,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000463007,F2,1005150000554,111386,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000463007,F2,1005150001003,106943,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000463016,F2,1005150000058,107248,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000463034,F2,1005150000082,103743,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000463034,F2,1005150001001,107926,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000463105,F2,0410220020220,284756,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000463105,F2,0410220020221,297238,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000463105,F2,0410220020378,270162,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000463105,F2,0410220020399,300143,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000463105,F2,0410220020400,248753,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000463105,F2,0410220020404,305926,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000463105,F2,0410220020405,283332,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000463105,F2,0410220020409,251146,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000463132,F2,0401680000151,193005,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000463212,F2,0502140000018,192850,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000463212,F2,0502140000055,164985,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000463212,F2,0502140000060,167169,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000463212,F2,0502140000061,176609,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000463212,F2,0502140000062,178887,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000463212,F2,0502140000063,161161,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000463230,F2,1319590010001,195871,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000463249,F2,0450740000222,32207,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000463258,F2,0402170000012,11244,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000463258,F2,0402170000302,13650,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000463285,F2,0440500000206,74439,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000463285,F2,0440500000218,100594,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000463301,F2,0440990010031,240748,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000463383,F2,0440990010031,240748,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000463490,F2,0410290040172,349167,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
